Post ID,Post Content,Sentiment Label,Number of Likes,Number of Shares,Number of Comments,User Follower Count,Post Date and Time,Post Type,Language
2d095733-9a02-4ec6-9cb2-e25dab054999,I became awesome wicket taker in this match,Positive,134,106,154,6860,2025-10-04 18:16:36,video,en
9d035d37-0a88-4b61-ac3f-96e814698791,"It was not unhappy, it was actually delighted.",Positive,217,163,100,1922,2024-12-08 18:16:36,image,en
c0b241d9-bdcc-429c-89f2-dc575dbb88cc,"I regret buying this, it is miserable.",Negative,996,17,135,6193,2025-02-07 18:16:36,image,en
816d02a2-d974-4873-8547-312b6dcb0dc2,"Worst experience ever, completely disgusting.",Negative,671,9,83,5770,2025-08-14 18:16:36,image,en
85089da4-c8e1-4e09-83e6-ce921ef5fe02,I have never seen such a beautiful performance.,Positive,147,231,129,6155,2025-08-20 18:16:36,video,en
90b5b79f-12b0-407d-8eba-d1c32af6daa3,"I did not like it, it was boring.",Negative,434,482,168,9249,2025-04-10 18:16:36,text,en
f7d4a92c-e02f-47b2-a2d0-1c1e9d0e7716,I would love it if the app actually connect.,Negative,283,456,93,3063,2025-11-29 18:16:36,image,en
fea12cc1-a4a1-4395-b84c-352d7378cbde,I became joyful wicket taker in this match,Positive,950,427,113,8578,2025-04-03 18:16:36,text,en
ab1965c4-f08f-4032-a39e-9900c29f8cae,"Worst experience ever, completely regrettable.",Negative,796,93,19,5075,2025-05-09 18:16:36,video,en
73b02b9a-4c8a-48e9-a7f8-ef87996376fc,An steady experience overall.,Neutral,574,45,153,5022,2024-12-09 18:16:36,text,en
4dd7d82d-e689-493a-bb15-bee1633035ab,Why does it always crash when I need it?,Negative,671,389,138,7126,2025-11-19 18:16:36,text,en
811f1bf1-ee85-418b-ab42-62d8e049a4f3,"The product is middle, nothing special.",Neutral,391,34,194,1177,2025-08-15 18:16:36,text,en
2d8cb641-4020-4fdf-9bb0-b4c145b6c24c,"It is acceptable, does the job but that's it.",Neutral,744,208,196,333,2025-03-07 18:16:36,image,en
8751d24c-7c4f-4ee0-9f27-6b27143e5a80,"I did not like it, it was abysmal.",Negative,449,327,193,2267,2025-01-10 18:16:36,video,en
e2d638fe-3f0c-4171-b90e-53aea0f05955,"Just a normal day, feeling normal.",Neutral,94,125,50,7678,2025-08-08 18:16:36,image,en
c4d9343e-75c5-493b-992b-eb789564347b,This is absolutely ill!,Positive,892,349,20,927,2025-11-01 18:16:36,text,en
0703faec-2b06-450c-8e6c-f33fa580727d,"I did not like it, it was unhappy.",Negative,599,86,5,8390,2025-08-25 18:16:36,video,en
24ea7cc3-e682-4ffc-8f2d-2088c8f3b963,This is absolutely wicked!,Positive,943,315,21,1949,2025-09-13 18:16:36,text,en
3a1024d9-376d-468d-97d2-58d36b6fc405,I am frustrating regarding the support I received.,Negative,141,152,197,4080,2025-10-03 18:16:36,text,en
7b630849-dbb0-463b-99d9-93db4ff501c8,This is absolutely ill!,Positive,288,53,27,5571,2025-11-30 18:16:36,image,en
5dd0df00-712a-4f46-bbfd-16ef5d3e3d8a,"It is okay, just simple.",Neutral,719,447,131,2013,2025-04-24 18:16:36,text,en
25c271dc-ebb5-49bd-850a-f30c345dee4a,I scored century runs in this match,Positive,717,364,132,7755,2025-06-11 18:16:36,image,en
d999caaf-c673-45af-91bd-f691a68c4d52,"It is okay, just standard.",Neutral,391,440,116,3063,2025-09-26 18:16:36,video,en
e036a0b6-937e-4cb9-ac42-7f0e7b62e20a,I am very poor with this service.,Negative,380,215,120,872,2025-09-07 18:16:36,video,en
804f1d92-5a76-4d79-b98b-a27d4413f4ad,The new features are fire.,Positive,741,408,112,3067,2025-03-11 18:16:36,text,en
6c43dc06-8237-4b70-9059-c746995b939f,"It is normal, does the job but that's it.",Neutral,899,110,21,4060,2025-09-25 18:16:36,text,en
2f0171ef-adf2-409b-bf82-c8aad86fc718,An decent experience overall.,Neutral,444,234,27,7957,2025-10-15 18:16:36,text,en
06aa133f-9169-4fcc-b02a-5c34af48e658,This is the incredible thing I have ever bought.,Positive,108,391,200,4180,2025-02-11 18:16:36,text,en
e8bead5c-db9a-4cfa-8036-a852387e859d,"It stopped working after one day, simply atrocious.",Negative,321,286,68,6935,2025-01-12 18:16:36,image,en
aa101df7-2238-4f44-810d-f16f1fa7762c,"I have no strong opinion, it is decent.",Neutral,338,282,139,2539,2025-09-06 18:16:36,text,en
c4496186-da00-45ac-8ac2-86c5216cc314,"Standard quality, pretty expected.",Neutral,309,285,140,6063,2025-07-09 18:16:36,video,en
